block,condition,seed,test_year,threshold,r_dist_err,r_std_err,auc_dist,auc_std,n_steps,regen_id,config_hash,git_sha,image,steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,guard_activations,secs
guard,plain,12,2023,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-2.6211054477121385,8.262283019600297,10.883388467312432,5.084402700807279,2.647991113620351,3.150994652884804,335655.247671262,56.4933633423031,10.503315509616014,8.82663704540117,55.43402777777777,2567.0,3160.0491514205933,100.0,0.0,0.0,52.82986111111111,2717.0,4629.733901977539,5284.0,1738.2573334458727,362.1832935473234,1961.474898322776,1712.6293162500683,0.0,5760.0,1.0,False,-1.0,71.4
guard,guarded,12,2023,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-2.2606524152280105,7.835354472761674,10.096006887989684,5.138935584021873,2.611522969913847,2.345548334053964,318311.275455943,57.0992842669097,7.818494446846547,8.705076566379491,51.37152777777778,2801.0,4292.464411735535,99.58333333333331,24.0,8336.341064453125,51.64930555555556,2785.0,6666.202217102051,5610.0,1756.9010543688178,269.6032569009577,1934.46145984514,1659.995707690774,0.0,5760.0,1.0,False,-1.0,70.1
signal,mahalanobis,13,2021,2.8595478900837894,0.2188481074060333,0.2823504265450514,0.6514272086093426,0.7118390518146934,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,13,2021,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-3.136734068026949,8.51959494447755,11.6563290125045,6.559148457056717,1.8297752896039243,3.2674052658438586,346108.5446194005,72.8794273006302,10.891350886146196,6.099250965346415,60.85069444444444,2255.0,2235.0247173309326,99.47916666666666,30.0,11399.376586914062,54.53125,2619.0,5482.289993286133,4904.0,2242.443917505079,375.5638237617429,1355.3891037415706,1343.831081576304,0.0,5760.0,1.0,False,-1.0,69.4
guard,guarded,13,2021,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-3.045485162760624,7.376696202579215,10.422181365339837,6.678839745312189,1.6310073300036358,2.1123342900240125,299678.28322978056,74.20933050346876,7.041114300080042,5.43669110001212,51.28472222222222,2806.0,7315.055729389191,98.26388888888889,100.0,42925.608642578125,47.65625,3015.0,10467.5421333313,5921.0,2283.364014736807,242.79704459088163,1208.153577498886,1218.6317251136277,0.0,5760.0,1.0,False,-1.0,69.7
signal,mahalanobis,13,2022,2.8595478900837894,0.2546569543218424,0.2667809794852478,0.7223835067099706,0.6935330112333054,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,13,2022,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-2.576478118204436,11.030239772154232,13.60671789035867,5.809021783257702,2.119806406361397,5.677889700739569,448103.4907437657,64.54468648064113,18.926299002465232,7.066021354537992,66.89236111111111,1907.0,2060.16127204895,99.23611111111111,44.0,3288.9969482421875,63.76736111111111,2087.0,4447.859893798828,4038.0,1985.9903530249808,652.6309999138966,1570.2269664467408,1315.382962151678,0.0,5760.0,1.0,False,-1.0,68.9
guard,guarded,13,2022,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5029.0,-2.039313493403704,7.58723190959053,9.626545402994232,5.861414669418239,1.4662285888010334,2.298902144774961,308231.29632711527,65.12682966020266,7.66300714924987,4.887428629336778,59.79319944322927,2022.0,6586.26867723465,98.19049512825612,91.0,35928.18957519531,57.36726983495725,2144.0,7374.861862182617,4257.0,2003.9024509173048,264.2416259623024,1086.0952515748686,912.1264303946858,0.0,5760.0,0.8731,True,-1.0,60.6
signal,mahalanobis,13,2023,2.8595478900837894,0.1243413622475754,0.2315343903257614,0.6112501205865329,0.674117239586683,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,13,2023,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,0.3080043545672423,10.954344479077172,10.646340124509932,5.077030504868651,2.5586426375909044,3.010666982050377,445020.2444625102,56.41145005409612,10.035556606834591,8.528808791969682,58.19444444444445,2408.0,2469.320924758911,100.0,0.0,0.0,51.23263888888889,2809.0,5018.67700958252,5217.0,1735.73692471319,346.05367624142855,1895.2908425418264,1695.6225808928884,0.0,5760.0,1.0,False,-1.0,68.5
guard,guarded,13,2023,2.8595478900837894,,,,,,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,5760.0,-0.8698689881196056,8.993869688129138,9.863738676248744,5.20340640606401,2.46628991943496,2.194042350749774,365375.9560802463,57.81562673404456,7.313474502499248,8.220966398116534,53.645833333333336,2670.0,4091.0494022369385,99.70486111111111,17.0,1753.7427978515625,48.87152777777778,2945.0,7342.690608978271,5632.0,1778.9423615922512,252.18877598315612,1826.8814223858556,1633.0994668365097,0.0,5760.0,1.0,False,-1.0,67.3
signal,mahalanobis,14,2021,2.8595478900837894,0.2292224326728623,0.29860196604937,0.6540596796149806,0.7802605205050701,5759.0,regen-v2,637c6b535a9e,unknown,greenhouse-regen:v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
