block,condition,seed,draw,test_year,threshold,r_dist_err,r_std_err,auc_dist,auc_std,n_steps,regen_id,config_hash,git_sha,image,steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,guard_activations,secs
guard,guarded,13,1,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.7025982155430373,7.438556132538906,10.141154348081944,6.578759598986361,1.462156573285356,2.100238175810227,302191.34288439306,73.09732887762624,7.000793919367423,4.87385524428452,50.72916666666667,2838.0,7209.066445589066,97.95138888888889,118.0,37009.08654785156,45.83333333333333,3120.0,10688.060974121094,6076.0,2249.148579799192,241.4066868825685,1083.0789414230992,1253.4575173916455,0.0,5760.0,1.0,False,False,complete,-1.0,95.9
signal,mahalanobis,13,1,2022,2.8595478900837885,0.243650853099607,0.1615887291683541,0.7222818455634874,0.6625345681394302,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,13,1,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,2.5494792127089525,15.57860271349458,13.029123500785628,5.490297212984958,2.079095469786159,5.459730818014509,632880.7352357173,61.00330236649953,18.19910272671503,6.930318232620531,67.65625,1863.0,1970.941394805908,100.0,0.0,0.0,61.71875,2205.0,5213.719879150391,4068.0,1877.0246880351265,627.5552665529051,1540.0707176645622,1340.5896637778278,0.0,5760.0,1.0,False,False,complete,-1.0,104.6
guard,guarded,13,1,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5329.0,-1.728475020455548,8.255923448765174,9.98439846922072,5.961372601938878,1.4804477817118382,2.542578085570004,335396.8901060852,66.23747335487643,8.475260285233349,4.934825939039461,59.07299680990805,2181.0,7265.283648014069,97.46669168699567,135.0,64234.41271972656,55.1698254832051,2389.0,8398.7477684021,4705.0,2038.076102971051,292.2503546086107,1096.627986169652,1022.0971914626518,0.0,5760.0,0.9252,True,False,env_terminated,-1.0,88.1
signal,mahalanobis,13,1,2023,2.8595478900837885,0.124215542644535,0.2351974455849283,0.6193434867194032,0.6919308851587456,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,13,1,2023,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,0.7891179775831794,10.863900216104632,10.074782238521454,5.014605601893404,2.196790830696865,2.863385805931184,441345.9462792507,55.71784002103782,9.544619353103949,7.322636102322884,57.30902777777778,2459.0,2549.659455299377,100.0,0.0,0.0,48.81944444444444,2948.0,5477.422180175781,5407.0,1714.3950795584817,329.1248051662249,1627.2524667959751,1730.3219708192769,0.0,5760.0,1.0,False,False,complete,-1.0,91.7
guard,guarded,13,1,2023,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-0.386721834934046,8.927285627144055,9.3140074620781,5.133968634590917,2.1110034965088635,2.06903533097832,362670.9786027272,57.04409593989908,6.8967844365944,7.036678321696212,53.35069444444444,2687.0,4162.38573551178,99.39236111111111,35.0,7402.8070068359375,46.84027777777778,3062.0,7558.948017120361,5784.0,1755.202952634303,237.8201530447192,1563.706294794979,1664.5412128538258,0.0,5760.0,1.0,False,False,complete,-1.0,90.7
signal,mahalanobis,13,2,2021,2.8595478900837885,0.2101823753004687,0.1897451158916972,0.6703884360194653,0.6682014652603598,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,13,2,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.8860273096863307,8.458218036732482,11.344245346418814,6.521180432350663,1.7862247185937432,3.036840195474407,343615.1077422571,72.45756035945182,10.122800651581358,5.9540823953124775,59.18402777777778,2351.0,2440.456401824951,99.58333333333331,24.0,4933.572509765625,54.40972222222222,2626.0,5413.0397872924805,5001.0,2229.463396531357,349.06209142723907,1323.1294212956443,1358.0031745591457,0.0,5760.0,1.0,False,False,complete,-1.0,94.6
guard,guarded,13,2,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.8559715800293857,7.399695367627194,10.25566694765658,6.637141454787555,1.5734912970313837,2.045034195837641,300612.6243098548,73.74601616430617,6.816780652792138,5.244970990104612,50.29513888888889,2863.0,7246.329793214798,98.76736111111111,71.0,25052.13586425781,47.22222222222222,3040.0,10261.121276855469,5974.0,2269.1081902495475,235.0614018745508,1165.5491080453949,1258.7551953146142,0.0,5760.0,1.0,False,False,complete,-1.0,94.6
signal,mahalanobis,13,2,2022,2.8595478900837885,0.2494101153570993,0.1334885232704245,0.7314728841083027,0.6338118608913756,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,13,2,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,0.3766034759262006,13.584267305736931,13.20766382981073,5.670323603357415,2.1604535030718583,5.376886723381457,551860.8592955628,63.00359559286017,17.922955744604856,7.201511676906195,66.37152777777777,1937.0,2144.15282535553,100.0,0.0,0.0,63.68055555555555,2092.0,4507.417598724365,4029.0,1938.572171737461,618.0329567898727,1600.3359281657638,1331.8703584725097,0.0,5760.0,1.0,False,False,complete,-1.0,97.7
guard,guarded,13,2,2022,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5329.0,-1.8177359488782607,8.262870030252845,10.080605979131107,5.96513237825414,1.587055169529077,2.528418431347891,335679.0949790219,66.27924864726822,8.428061437826305,5.290183898430257,58.75398761493713,2198.0,7003.155450344086,98.17977106398948,97.0,40875.93835449219,56.46462750985175,2320.0,8170.426048278809,4615.0,2039.3614964172184,290.6228081316093,1175.5964218896172,1028.026582300855,0.0,5760.0,0.9252,True,False,env_terminated,-1.0,86.8
signal,mahalanobis,13,2,2023,2.8595478900837885,0.126161833786578,0.1542209317798806,0.6245543322721718,0.6375862193710207,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,13,2,2023,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,0.6273695730976494,10.834190079942273,10.206820506844618,5.055653607533209,2.4490735688760674,2.702093330435344,440138.9719976547,56.17392897259121,9.006977768117812,8.163578562920225,56.80555555555556,2488.0,2671.876799583435,100.0,0.0,0.0,51.44097222222223,2797.0,4933.589679718018,5285.0,1728.4285831103266,310.58544019814656,1814.128569944558,1709.1658264430062,0.0,5760.0,1.0,False,False,complete,-1.0,94.7
guard,guarded,13,2,2023,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-0.6107233951444779,8.870430018360544,9.481153413505025,5.193854928429362,2.351058862075487,1.9362396230001733,360361.2194958971,57.70949920477069,6.4541320766672445,7.836862873584957,52.69097222222222,2725.0,4203.78521156311,99.5659722222222,25.0,3797.416259765625,48.95833333333333,2940.0,7065.569358825684,5690.0,1775.6768985708886,222.55627841909177,1741.5250832596707,1650.0414104026063,0.0,5760.0,1.0,False,False,complete,-1.0,92.6
signal,mahalanobis,13,3,2021,2.8595478900837885,0.212521984170954,0.1693402899010332,0.6530196207687526,0.6297119187729114,5759.0,regen-v2,637c6b535a9e,f8f1aef,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guard,plain,13,3,2021,2.8595478900837885,,,,,,regen-v2,637c6b535a9e,f8f1aef,local,5760.0,-2.961923915241353,8.537709649557485,11.499633564798838,6.492613999367034,1.8323254929794293,3.1746940724523736,346844.45451327285,72.1401555485226,10.582313574841246,6.1077516432647645,59.84374999999999,2313.0,2293.730553627014,99.49652777777776,29.0,12679.089965820312,54.6875,2610.0,5572.773124694824,4952.0,2219.6970961744046,364.9073646817248,1357.2781432925424,1334.1753471126076,0.0,5760.0,1.0,False,False,complete,-1.0,94.6
