steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,method,seed,secs,uBoil_t_in
3687,0.79043005782817,8.367435067458048,7.577005009629878,3.613002424089768,3.780339577747016,0.1836630077930944,339927.0496154832,40.1444713787752,0.6122100259769815,12.601131925823388,64.71385950637375,1301,1190.469910621643,39.408733387577975,2234,2405096.28503418,71.22321670735015,1061,2152.417491912842,4596,1235.2145036924771,21.110690507875468,2800.2515383195405,726.8528701973053,0,sindy_mpc_dense_dagger,19,84.3,0.0596359590973318
5760,-2.023556103565096,12.551104223576486,14.57466032714158,4.692623100490525,2.536500970944635,7.345536255706419,509888.6090827948,52.14025667211695,24.485120852354736,8.455003236482117,51.145833333333336,2814,4283.523012161255,100.0,0,0.0,66.38888888888889,1936,4169.88862991333,4750,1604.315589950343,844.3145122081164,1878.8896074154552,1487.8719073364784,0,sindy_mpc_confirmatory,2,91.6,0.0
5760,4.650170023179774,15.358347260560588,10.708177237380813,4.925163412844771,5.412138847314585,0.3708749772214593,623932.8574602739,54.72403792049746,1.2362499240715312,18.04046282438195,61.51041666666666,2217,1922.9049997329712,65.0,2016,2556081.3580322266,62.27430555555556,2173,4359.6335105896,6406,1683.8165519408783,42.62930775767119,4008.991737690328,1422.4514591385337,0,sindy_mpc_dense,2,108.4,0.0410135819555229
5760,5.031942956241567,12.544005130355416,7.512062174113852,5.21087734616074,1.9489947671809549,0.3521900607721565,509600.20842068887,57.89863717956378,1.1739668692405216,6.496649223936516,68.50694444444444,1814,1510.8213186264038,100.0,0,0.0,64.77430555555556,2029,3738.148769378662,3843,1781.4965303850013,40.48161614735768,1443.6998260319397,1394.6922885712331,0,sindy_mpc_conf_dagger,2,134.4,0.0664829359872226
5760,4.006310774633598,14.217111072771354,10.210800298137755,4.993333097773238,5.083200449869047,0.1342667504954706,577570.1373313363,55.48147886414709,0.447555834984902,16.94400149956349,65.12152777777777,2009,1894.2395944595337,67.89930555555556,1849,874269.5734863281,68.94097222222221,1789,3601.0837593078613,5647,1707.1224252393872,15.432959740232173,3765.333666804092,1359.4894015388525,0,sindy_mpc_dense_dagger,2,148.1,0.0604203883995317
5760,-0.5964874202549175,12.10360918185858,12.700096602113495,4.548462168504001,2.5078125641848046,5.643821869424691,491709.1230130048,50.538468538933344,18.812739564748973,8.359375213949349,45.97222222222222,3112,4852.796999931335,100.0,0,0.0,64.32291666666666,2055,4246.90274810791,5167,1555.0298016969443,648.7151574299338,1857.638936792634,1485.6866386975737,0,sindy_mpc_confirmatory,3,129.1,0.0
5760,5.169192663354576,13.693770543949109,8.524577880594533,4.755700956134135,3.698421562521654,0.0704553619387444,556309.4283479325,52.84112173482372,0.2348512064624814,12.32807187507218,54.72222222222223,2608,3250.835428237915,95.55555555555556,256,67131.19580078125,70.10416666666667,1722,3099.617774963379,4586,1625.8806692038302,8.098317493277827,2739.571528050566,1482.5000169044638,0,sindy_mpc_dense,3,105.2,0.0243933216194097
5760,0.8630478591947887,14.792461617767716,13.929413758572927,4.524032628135759,2.913074897199564,6.4923062332376045,600943.7532218135,50.26702920150843,21.64102077745868,9.71024965733188,50.364583333333336,2859,4127.2459144592285,100.0,0,0.0,64.04513888888889,2071,4739.382171630859,4930,1546.6778213292828,746.2420959972696,2157.833256966508,1320.45133031744,0,sindy_mpc_conf_dagger,3,178.7,0.0
5760,5.067379832483495,12.42274557336814,7.355365740884642,4.8524211970843805,2.330575800873089,0.1723687429271724,504674.0389180806,53.915791078715344,0.5745624764239081,7.768586002910298,65.01736111111111,2015,2258.547097206116,99.86111111111111,8,862.30224609375,59.39236111111112,2339,5334.998428344727,4362,1658.9474174927832,19.812499155902213,1726.3524454053002,1464.681375243896,0,sindy_mpc_dense_dagger,3,174.3,0.0313990227059649
5760,-0.2614920735686286,9.197591979204583,9.459084052773216,4.265551362853855,5.074944254452772,0.1185884354665875,373652.1741551864,47.39501514282061,0.3952947848886251,16.916480848175908,42.11805555555556,3334,6884.997835636139,69.82638888888889,1738,2052728.941040039,59.357638888888886,2341,4444.74397277832,7413,1458.3081588163009,13.630854629650337,3759.217966939411,1474.0911176556087,0,sindy_mpc_confirmatory,4,145.5,0.0
5760,4.482938939584165,15.701665877433827,11.218726937849665,4.764291396891743,5.90185165280207,0.5525838881558506,637880.1762707493,52.93657107657492,1.8419462938528357,19.672838842673567,63.92361111111112,2078,1670.2261290550232,54.39236111111111,2627,3198598.0322265625,59.357638888888886,2341,4730.596240997314,7046,1628.8175727586763,63.51538940510028,4371.741963953436,1389.5766526304544,0,sindy_mpc_dense,4,93.5,0.0420945215494348
