ood,violation
3.362214541732949,0
3.3631872665647142,0
3.3613876898263477,0
3.3565396933697906,0
3.3484437376002862,0
3.336968682400127,0
3.322314965286312,1
3.3036973073068685,1
3.289853503675404,1
3.2927070219354575,1
3.2929070520739,1
3.2904670049005182,1
3.267943625331059,1
3.1947232406996777,1
3.120433756761196,1
3.0455051189266316,1
2.9774555394232727,1
2.9302031178970123,1
2.8837982024750737,1
2.838962927436345,1
2.804079916955012,1
2.7913950860150862,1
2.781683293768919,1
2.7754426182673106,1
2.7778918437829323,1
2.796575007610476,1
2.8185302636972898,1
2.8436588134426,1
2.8656077312290926,1
2.870233991627589,1
2.8742484353643913,1
2.8772974753302,1
2.874174946732788,1
2.8565676228759567,1
2.835603214991057,1
2.8115128617168326,1
2.7740984518394964,1
2.7105379070230033,0
2.6456400961386195,0
2.578713573535517,1
2.4682260066131523,1
2.2918464447303104,0
2.1892653610877066,0
2.1733785912091053,0
2.2423356657166793,0
2.350244522309674,0
2.5004007849581127,0
2.688888144103901,0
2.839480265889001,0
2.841000173102377,0
2.851154032903229,0
2.869869314359235,0
2.8893852681157766,0
2.8983639021601815,0
2.9157841691543744,0
2.9386572937149147,0
2.9422657823674054,0
2.893856617754292,0
2.8570122957967525,0
2.831239480323573,0
2.8200861745050196,0
2.829899836557033,1
2.852236760632113,0
2.8857221152555366,1
2.9033836670369513,0
2.885609102220077,1
2.8949079703967295,0
2.929867045848444,0
2.970406211709099,0
2.9952917082400523,0
3.0437220085530994,0
3.114278552193157,1
3.1506563183304026,1
3.08091316544626,1
3.013840681556482,1
2.949465977052689,1
2.892387341571484,0
2.8506202037615793,0
2.815478724195307,0
2.788501641171924,0
2.756435193850059,0
2.707048608325961,0
2.664908680660804,1
2.628659157938998,1
2.6047770928970433,1
2.598781611455876,1
2.596978967613775,1
2.5996752230567184,1
2.620236308828533,1
2.6727426077782055,1
2.726847460013592,1
2.7817322758618053,1
2.8336666027952586,1
2.879363771323446,1
2.9233943499078303,1
2.965386865035917,1
2.963331830156769,1
2.8764616334037996,1
2.7880808176528005,1
2.697944807337036,1
2.637035201189277,1
2.6339100483861353,1
2.6273912949490246,1
2.616583618476385,1
2.60549764752642,1
2.5967973216282565,1
2.585111285065938,1
2.570914280842636,1
2.5457161284570047,1
2.5023075570808917,1
2.4570372157735068,1
2.4130098453710973,1
2.3761812921393943,1
2.358657011060388,1
2.342025659949621,1
2.328466451199885,1
2.3296472909561032,1
2.355675792951892,1
2.385594623006735,1
2.4186879869037083,1
2.4414372954307235,1
2.4443907150667044,1
2.453368851742532,1
2.4684403058662148,0
2.4755803494025934,1
2.458302524552654,1
2.4381753708715017,1
2.416133593433064,1
2.3917734293431154,1
2.3652689617991203,1
2.336895207202957,1
2.305350773872651,1
2.2695844247161756,1
2.230455893848167,1
2.1943652695739995,0
2.162324275094028,0
2.1174772718190193,0
2.08294926527416,0
2.111361786311792,0
2.2030600491162926,0
2.35582379718671,0
2.569789539663022,0
2.8344204390969647,0
3.140317851127103,0
3.349109214472468,0
3.3543895874584213,0
3.3724694696762705,0
3.402755784178025,0
3.447953762536423,0
3.507057597725164,0
3.5732457094740195,0
3.6462142061995615,0
3.668543518448772,0
3.603990612344034,0
3.5497597826046268,0
3.5055109899160706,0
3.468078960189808,0
3.451297312103895,0
3.4663570367647596,0
3.5117818195776818,0
3.548345635738922,0
3.5525726918204317,1
3.584126654889253,1
3.640570446847787,1
3.66535606646593,1
3.618989042155086,1
3.58787938825164,1
3.571785770957836,1
3.5540052890655214,1
3.5168039728072653,1
3.4826741834600603,1
3.451045904170012,1
3.3926839200364034,0
3.292651733448849,0
3.1987128855109157,1
3.1110460179570216,1
3.0472746844730367,1
3.017148492462968,1
2.9936236265338327,1
2.9772074380023366,1
2.9794346952507764,1
3.0102441254582355,1
3.045589113999045,1
3.0846926729730098,1
3.123304353018395,1
3.1578501838873367,1
3.1940960689490363,1
3.2313238800573116,1
3.2679724459893618,1
3.3046054083537033,1
3.3394830740434025,1
3.372993205455641,1
3.3933171127558226,1
3.3942545782367883,1
3.3921728666415927,1
3.388158202240721,1
3.3602155532432234,1
3.3023576507297636,1
3.241223367212999,1
3.1770023962509657,1
3.097980516922596,1
2.9995993667966316,1
2.898864746184938,1
2.7959527529788093,1
2.6989982212683734,1
2.6105303194254157,1
2.5222121037712286,1
2.4336665397824544,1
2.3673664989546883,1
2.3325752240704527,1
2.2999330243349743,1
2.270380001808088,1
