steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,method,seed,secs
5760,-3.862974304270732,10.833969098527698,14.696943402798428,4.133151190113828,4.183238666791716,6.3805535458928855,440129.9946276877,45.92390211237586,21.268511819642956,13.944128889305722,45.17361111111112,3158,6305.225422859192,77.32638888888889,1306,1693972.7239990234,52.25694444444444,2750,5200.589630126953,7214,1413.0431418106004,733.3969593608832,3098.695307561077,1442.3236057206664,0,sindy_mpc,5,199.6
5760,3.787875261130488,14.914021367582407,11.12614610645192,4.78197165844106,5.528681464166784,0.8154929838440768,605882.1180580354,53.13301842712289,2.7183099461469227,18.42893821388928,72.93402777777777,1559,1025.754623413086,47.795138888888886,3007,3265410.348510742,51.33680555555556,2803,5743.505039215088,7369,1634.8621055597966,93.73482587721853,4095.3196035536766,1278.0674564857031,0,grey_box_mpc,5,179.2
5760,-2.198405567176206,10.648287356057075,12.846692923233284,4.308247488736143,3.670504714758324,4.867940719738816,432586.67383981874,47.8694165415127,16.226469065796053,12.23501571586108,45.57291666666667,3135,5828.914375782013,80.24305555555556,1138,1552441.2275390625,57.552083333333336,2445,4851.8854331970215,6718,1472.9051240331985,559.5334162166835,2718.892381563813,1443.017763766501,0,sindy_mpc,6,211.0
3687,2.746326008444564,8.638457565500827,5.892131557056263,3.654767585432311,2.123622981157681,0.113740990466271,350937.3385984711,40.60852872702568,0.3791366348875702,7.078743270525602,62.05587198264172,1399,1412.4024095535278,93.35503119066992,245,62561.23889160156,66.44968809330078,1237,2311.099903106689,2881,1249.493190582073,13.0736770376613,1573.0540605874598,851.9867323797695,0,grey_box_mpc,6,106.1
5760,8.572785679955237,16.029719120248316,7.456933440293081,5.012481002038237,2.324954998278573,0.1194974399762704,651207.3392600879,55.694233355980415,0.3983247999209016,7.749849994261912,69.01041666666666,1785,1570.3911247253418,100.0,0,0.0,60.08680555555556,2299,4862.617767333984,4084,1713.66871817728,13.735337903494788,1722.188888033693,1472.284956224962,0,sindy_mpc,7,229.3
5760,3.810779102426093,14.360222080575934,10.549442978149845,4.809699667997692,5.076274788383397,0.6634685217687535,583384.0220233974,53.44110742219658,2.2115617392291784,16.92091596127799,70.12152777777779,1721,1135.010534286499,53.85416666666667,2658,2921059.4453125,50.34722222222222,2860,5956.942836761475,7239,1644.3417677432442,76.26074972724477,3760.203547565101,1280.9218560011827,0,grey_box_mpc,7,154.5
5760,5.95143123594485,13.66211952077038,7.71068828482553,5.258554740561559,2.452012930702122,0.00012061356185,555023.6055312967,58.42838600623955,0.0004020452061668,8.17337643567374,63.81944444444444,2084,2583.8614587783813,100.0,0,0.0,70.34722222222223,1708,3590.982955932617,3792,1797.7964923903496,0.0138636278877267,1816.3058749822585,1547.5144649666254,0,sindy_mpc,8,199.6
5760,3.915596402830616,12.750234096740822,8.83463769391021,4.955043709394762,3.59191075715714,0.287683227358307,517978.260180096,55.05604121549736,0.9589440911943568,11.973035857190467,62.18749999999999,2178,2592.666494369507,90.69444444444444,536,570919.2346191406,66.47569444444444,1931,3548.29919052124,4645,1694.0320374327976,33.067037640457045,2660.6746352883574,1508.313878405572,0,grey_box_mpc,8,161.3
5760,7.897558093998168,16.351521614845613,8.453963520847447,4.629306431212273,2.537118170319053,1.2875389193161206,664280.5656031031,51.436738124580806,4.291796397720402,8.457060567730178,53.97569444444444,2651,3284.0731830596924,100.0,0,0.0,62.22222222222222,2176,4563.477024078369,4827,1582.6688659041042,147.99297939397354,1879.3467922084524,1478.9934532389534,0,sindy_mpc,9,221.9
5760,3.625508529701227,14.042470877005089,10.416962347303862,4.595494908292924,4.587643839677286,1.2338235993336513,570475.3793783317,51.061054536588045,4.112745331112171,15.29214613225762,61.19791666666666,2235,2313.950746536255,65.72916666666667,1974,2661166.614501953,55.71180555555556,2551,5698.58625793457,6760,1571.1093697727265,141.818804393276,3398.254695149405,1444.8848981888127,0,grey_box_mpc,9,160.9
