steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,method,seed,test_year,secs
5760,-3.841024867274262,16.176968414575995,20.017993281850256,7.6675402120409615,2.799872003113149,9.550581066696148,657189.3418421498,85.19489124489958,31.83527022232049,9.33290667704383,80.05208333333333,1149,1672.6566133499146,100.0,0,0.0,54.35763888888889,2629,6742.67654800415,3778,2621.3812682414173,1097.767938691586,2073.979262660632,857.7072527135695,6,oracle_mpc,16,2023,3989.0
3777,1.2242732571210264,11.70846049025626,10.484187233135234,5.482262608262961,1.6218050886524762,3.380119536219797,475656.2074166606,60.91402898069957,11.267065120732658,5.406016962174921,70.95578501456183,1097,1830.7971239089968,100.0,0,0.0,69.42017474185862,1155,2638.1212730407715,2252,1874.2778137221312,388.51948690806375,1201.337102553303,461.1940583614993,10,oracle_mpc,17,2020,2850.0
5760,-6.502655197660371,16.445437430812618,22.948092628472992,8.748215075887131,2.507957965631285,11.691919586954578,668095.8956267628,97.20238973207924,38.97306528984859,8.359859885437617,75.24305555555556,1426,2244.393440246582,100.0,0,0.0,54.75694444444444,2606,6032.955612182617,4032,2990.8427607790154,1343.8988025669198,1857.746642527108,760.526566924126,8,oracle_mpc,17,2021,4096.9
5213,-0.61675964403587,15.005162672032554,15.621922316068424,7.644480680678946,2.2229303057893843,5.754511329600092,609584.7335513225,84.93867422976606,19.18170443200031,7.409767685964614,76.8847112986764,1205,1955.192441940308,100.0,0,0.0,65.02973335891042,1823,4119.227653503418,3028,2613.4976678275457,661.438082665984,1646.6150401540183,666.3632271541333,10,oracle_mpc,17,2022,3788.9
5760,-3.63956659334148,16.17714795832832,19.8167145516698,7.612448057792136,2.7743558718442407,9.429910622033422,657196.635807088,84.5827561976904,31.433035406778075,9.24785290614747,80.55555555555556,1120,1599.0734977722168,100.0,0,0.0,53.02083333333333,2706,6978.755760192871,3826,2602.5463436380915,1083.8977734327705,2055.0784239056866,853.4470006387814,6,oracle_mpc,17,2023,3938.7
5760,3.0120686417222484,18.03773656983717,15.025667928114922,7.722884016346242,2.7040230169838804,4.5987608947848,732783.0481496351,85.80982240384714,15.329202982616,9.013410056612935,73.54166666666667,1524,2570.60385799408,100.0,0,0.0,69.20138888888889,1774,4053.9669075012207,3298,2640.3022264264346,528.5932060048199,2002.980012057601,746.8333746814271,10,oracle_mpc,18,2020,4133.3
5760,-6.410417583122053,16.49854883265208,22.90896641577413,8.692651827419418,2.555246469741132,11.661068118613588,670253.5463264908,96.5850203046602,38.87022706204529,8.51748823247044,75.15625,1431,2263.086459159851,100.0,0,0.0,54.513888888888886,2620,6170.802722930908,4051,2971.846776983781,1340.3526556884815,1892.7751624564653,759.9918767737486,10,oracle_mpc,18,2021,4083.6
5217,-0.5256272511357758,14.979540455423027,15.5051677065588,7.6059934244169085,2.222555289048862,5.676618993093031,608543.8310015604,84.51103804907676,18.922063310310104,7.408517630162874,77.01744297488979,1199,1912.6201543807983,100.0,0,0.0,64.38566225800268,1858,4137.817150115967,3057,2600.339631566406,652.4849414383257,1646.3372507511608,671.4141787342253,10,oracle_mpc,18,2022,3775.6
5760,-3.626108467553857,16.062233848162993,19.68834231571685,7.609733032507234,2.788753760859587,9.28985552235003,652528.2500816216,84.55258925008037,30.9661850745001,9.295845869531956,79.44444444444444,1184,1855.694474220276,100.0,0,0.0,53.80208333333333,2661,6847.910343170166,3845,2601.6181304137026,1067.7994858256452,2065.7435266970124,842.5922279445849,9,oracle_mpc,18,2023,3911.6
5698,2.818805800171888,17.76863225015662,14.949826449984736,7.64472406127136,2.6335452396495262,4.671557149063848,721850.6851626128,84.94137845857067,15.57185716354616,8.778484132165088,73.51702351702352,1509,2417.8082189559937,100.0,0,0.0,69.86661986661986,1717,3899.4572982788086,3226,2613.5808743250445,536.9605926400795,1950.774251798145,726.6289609456123,10,oracle_mpc,19,2020,4061.9
5760,-6.309687251804419,16.49921538532883,22.80890263713325,8.663221896026315,2.5114254364914093,11.634255304615529,670280.6250289838,96.25802106695906,38.78085101538509,8.371418121638031,76.16319444444444,1373,2167.9009199142456,100.0,0,0.0,54.09722222222222,2644,6051.312576293945,4017,2961.785262088618,1337.2707250852436,1860.315138327505,759.0657536728147,7,oracle_mpc,19,2021,4064.6
