block,condition,seed,variant,degree,optimizer,denoise,n_days_train,rollout_horizons,regen_id,config_hash,git_sha,image,nonzero,kappa,rollout_rmse_t_in,diverged_frac,one_step_rmse_t_in,sign_pass,embeddable,secs
ladder,raw/d2/constrained/none,1,raw,2,constrained,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,7,8.32444884451497,4.857430346512313,0.0,2.4327167464395156,,False,11.6
ladder,raw/d2/constrained/savgol,1,raw,2,constrained,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,9.479675348845616,4.951157531811241,0.0,3.1647449330870936,,False,11.9
ladder,raw/d2/constrained/kalman,1,raw,2,constrained,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,8.125430189413033,5.387144581605616,0.0,3.176328269908373,,False,12.2
ladder,raw/d2/ensemble/none,1,raw,2,ensemble,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,46,8.32444884451497,2.2659608772189483,0.0,1.1531071797404935,,False,24.0
ladder,raw/d2/ensemble/savgol,1,raw,2,ensemble,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,9.479675348845616,5.428881521796878,0.0,3.177060449982497,,False,22.3
ladder,raw/d2/ensemble/kalman,1,raw,2,ensemble,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,8.125430189413033,5.638123312279296,0.0,3.1802501314046805,,False,22.9
ladder,physics/d1/stlsq/none,1,physics,1,stlsq,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,39,54.38994954468889,24.071467747352084,0.1,1.6548669769370157,,True,2.8
ladder,physics/d1/stlsq/savgol,1,physics,1,stlsq,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,42.609573704795075,5.444343935390985,0.0,3.1773224319009903,,True,3.2
ladder,physics/d1/stlsq/kalman,1,physics,1,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,40.19633060894257,5.615952138169538,0.0,3.179944193716516,,True,3.8
ladder,physics/d1/sr3/none,1,physics,1,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,14,54.38994954468889,55.943763653853125,0.16666666666666666,2.179029663576226,,True,2.8
ladder,physics/d1/sr3/savgol,1,physics,1,sr3,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,42.609573704795075,5.011074111548853,0.0,3.167036328292749,,True,3.1
ladder,physics/d1/sr3/kalman,1,physics,1,sr3,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,40.19633060894257,6.826244757586658,0.0,3.191180103733741,,True,3.8
ladder,physics/d1/constrained/none,1,physics,1,constrained,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,14,54.38994954468889,55.943763653853125,0.16666666666666666,2.179029663576226,,True,2.8
ladder,physics/d1/constrained/savgol,1,physics,1,constrained,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,42.609573704795075,5.011074111548853,0.0,3.167036328292749,,True,3.1
ladder,physics/d1/constrained/kalman,1,physics,1,constrained,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,40.19633060894257,6.826244757586658,0.0,3.191180103733741,,True,3.8
ladder,physics/d1/ensemble/none,1,physics,1,ensemble,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,39,54.38994954468889,24.68872534192097,0.1,1.6621909892060638,,True,3.6
ladder,physics/d1/ensemble/savgol,1,physics,1,ensemble,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,42.609573704795075,5.461290554277043,0.0,3.1776040664630094,,True,3.7
ladder,physics/d1/ensemble/kalman,1,physics,1,ensemble,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,40.19633060894257,5.633706691121343,0.0,3.180189707742698,,True,4.3
ladder,physics/d2/stlsq/none,1,physics,2,stlsq,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,256,54.38994954468889,4.112501308942833,0.016666666666666666,0.9655767680787568,,False,27.1
