block,condition,seed,variant,degree,optimizer,denoise,n_days_train,rollout_horizons,regen_id,config_hash,git_sha,image,nonzero,kappa,rollout_rmse_t_in,diverged_frac,one_step_rmse_t_in,sign_pass,embeddable,secs
ladder,raw/d2/stlsq/none,4,raw,2,stlsq,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,50,7.909942070909357,29.423748229442744,0.016666666666666666,1.1125717336032654,,False,16.6
ladder,raw/d2/stlsq/savgol,4,raw,2,stlsq,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.906991494996788,5.453183202459823,0.0,3.0830587095138906,,False,17.0
ladder,raw/d2/stlsq/kalman,4,raw,2,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.032996259921427,5.674000981932252,0.0,3.0857418988240153,,False,17.8
ladder,raw/d2/sr3/none,4,raw,2,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,7,7.909942070909357,4.479669281704907,0.0,2.405442968246779,,False,13.5
ladder,raw/d2/sr3/savgol,4,raw,2,sr3,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.906991494996788,4.689481601171886,0.0,3.0626859863161227,,False,10.5
ladder,raw/d2/sr3/kalman,4,raw,2,sr3,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.032996259921427,5.278361807200908,0.0,3.08047641034443,,False,15.9
ladder,raw/d2/constrained/none,4,raw,2,constrained,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,7,7.909942070909357,4.479669281704907,0.0,2.405442968246779,,False,16.8
ladder,raw/d2/constrained/savgol,4,raw,2,constrained,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.906991494996788,4.689481601171886,0.0,3.0626859863161227,,False,14.6
ladder,raw/d2/constrained/kalman,4,raw,2,constrained,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.032996259921427,5.278361807200908,0.0,3.08047641034443,,False,17.2
ladder,raw/d2/ensemble/none,4,raw,2,ensemble,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,49,7.909942070909357,6.094047920878143,0.016666666666666666,1.1134312178755077,,False,30.9
ladder,raw/d2/ensemble/savgol,4,raw,2,ensemble,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,8.906991494996788,5.454290880445993,0.0,3.0830735830487868,,False,30.8
