method,budget_days,metric_scope,horizon,state,rmse,mae,r2,failed_rollouts,attempted_rollouts,nonzero_coefficients,total_coefficients,sparsity,condition_number
physics_full,30,one_step,1,t_in,1.429064310899561,1.0439233096249494,0.7781689179006204,,,50,66,0.24242424242424243,99.90361142599511
physics_full,30,one_step,1,co2,72.37879360572066,54.33256564752757,0.8304348869835654,,,50,66,0.24242424242424243,99.90361142599511
physics_full,30,one_step,1,rh,3.61169554872313,2.443092329017433,0.6979958336141356,,,50,66,0.24242424242424243,99.90361142599511
physics_full,30,rollout,4,t_in,2.335802016681354,1.6554453296159586,,0.0,20.0,50,66,0.24242424242424243,99.90361142599511
physics_full,30,rollout,4,co2,126.30378168778225,91.16281730311414,,0.0,20.0,50,66,0.24242424242424243,99.90361142599511
physics_full,30,rollout,4,rh,5.7462933966632335,3.663923222142555,,0.0,20.0,50,66,0.24242424242424243,99.90361142599511
physics_full,30,rollout,20,t_in,21.219404962742814,5.4243832660014695,,1.0,20.0,50,66,0.24242424242424243,99.90361142599511
physics_full,30,rollout,20,co2,787.6287993137914,260.17784805785175,,1.0,20.0,50,66,0.24242424242424243,99.90361142599511
physics_full,30,rollout,20,rh,107.62523683428971,20.24606583830509,,1.0,20.0,50,66,0.24242424242424243,99.90361142599511
physics_full,30,rollout,96,t_in,46.129957476193454,10.545287084788836,,14.0,20.0,50,66,0.24242424242424243,99.90361142599511
physics_full,30,rollout,96,co2,1800.6875623240367,460.0086662901049,,14.0,20.0,50,66,0.24242424242424243,99.90361142599511
physics_full,30,rollout,96,rh,204.75345827400122,44.50538325114741,,14.0,20.0,50,66,0.24242424242424243,99.90361142599511
raw_linear,60,one_step,1,t_in,1.727834855965056,1.3174552036599754,0.6757176492024357,,,28,45,0.37777777777777777,8.09026824543052
raw_linear,60,one_step,1,co2,85.32806820862695,66.41137041526741,0.7643336093235111,,,28,45,0.37777777777777777,8.09026824543052
raw_linear,60,one_step,1,rh,4.4717153651008275,3.196756686164468,0.5370447958473306,,,28,45,0.37777777777777777,8.09026824543052
raw_linear,60,rollout,4,t_in,2.0567395791704177,1.6248507907900855,,0.0,20.0,28,45,0.37777777777777777,8.09026824543052
raw_linear,60,rollout,4,co2,104.97579380729968,86.71371000058689,,0.0,20.0,28,45,0.37777777777777777,8.09026824543052
raw_linear,60,rollout,4,rh,4.5023462487716595,3.2451122629331293,,0.0,20.0,28,45,0.37777777777777777,8.09026824543052
raw_linear,60,rollout,20,t_in,2.079408738428239,1.6489880860515178,,0.0,20.0,28,45,0.37777777777777777,8.09026824543052
raw_linear,60,rollout,20,co2,193.54190764212328,149.49152725602107,,0.0,20.0,28,45,0.37777777777777777,8.09026824543052
raw_linear,60,rollout,20,rh,5.872939598788376,4.061043724096934,,0.0,20.0,28,45,0.37777777777777777,8.09026824543052
raw_linear,60,rollout,96,t_in,1.9059250081499364,1.467046181468785,,0.0,20.0,28,45,0.37777777777777777,8.09026824543052
raw_linear,60,rollout,96,co2,191.76183276659125,147.2139573284121,,0.0,20.0,28,45,0.37777777777777777,8.09026824543052
raw_linear,60,rollout,96,rh,6.282986986622419,4.616928555018381,,0.0,20.0,28,45,0.37777777777777777,8.09026824543052
raw_quadratic,60,one_step,1,t_in,1.067624747480319,0.7630915007531094,0.8761898883527393,,,65,360,0.8194444444444444,8.09026824543052
raw_quadratic,60,one_step,1,co2,52.525533717286606,39.492707896368984,0.9106993188567857,,,65,360,0.8194444444444444,8.09026824543052
raw_quadratic,60,one_step,1,rh,2.902872879280074,1.9650973643687277,0.8049047469978508,,,65,360,0.8194444444444444,8.09026824543052
raw_quadratic,60,rollout,4,t_in,1.3479563156065584,0.9491169161407731,,0.0,20.0,65,360,0.8194444444444444,8.09026824543052
raw_quadratic,60,rollout,4,co2,58.57497975423899,47.37669529107583,,0.0,20.0,65,360,0.8194444444444444,8.09026824543052
raw_quadratic,60,rollout,4,rh,3.1856125455052946,2.2681376159629307,,0.0,20.0,65,360,0.8194444444444444,8.09026824543052
raw_quadratic,60,rollout,20,t_in,2.187331259715471,1.4958595441700453,,0.0,20.0,65,360,0.8194444444444444,8.09026824543052
