steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,block,condition,factor,value,seed,test_year,regen_id,config_hash,git_sha,image,nonzero,xi_uboil,rep
5760,3.7540660931072085,15.376670161428024,11.622604068320816,4.9667586666783015,5.697668675889686,0.958176725752829,624677.2253080135,55.186207407536685,3.1939224191760966,18.992228919632286,62.04861111111111,2186,1908.8993253707886,57.10069444444444,2471,2749133.731567383,63.420138888888886,2107,3920.9862899780273,6764,1698.0371504608784,110.13525585105471,4220.495315065403,1374.3919768496012,0,5760,1.0,False,False,complete,design,stlsq_threshold=0.01,stlsq_threshold,0.01,1,2020,regen-v2,637c6b535a9e,86e95e8,local,44.0,0.03782694555918662,
5760,0.1707619271904569,10.492215664077907,10.32145373688745,4.684448913247388,5.615104685484785,0.021900138155277818,426246.26135316497,52.04943236941542,0.07300046051759274,18.717015618282616,58.94097222222222,2365,3858.4584798812866,59.91319444444444,2309,2277692.689819336,53.923611111111114,2654,4891.328544616699,7328,1601.5209974370825,2.517257263520005,4159.336803886658,1468.9569969229337,0,5760,1.0,False,False,complete,design,stlsq_threshold=0.05,stlsq_threshold,0.05,1,2020,regen-v2,637c6b535a9e,86e95e8,local,30.0,0.0,
5760,2.47127980719134,5.495947131096981,3.0246673239056414,0.13867999518821017,2.2011612358178407,0.6848260928995907,223272.85220081487,1.5408888354245576,2.2827536429986357,7.337204119392803,32.22222222222222,3904,18760.053397893906,95.69444444444444,248,133967.77270507812,25.590277777777775,4286,31840.392475128174,8438,47.41196421375517,78.71564285756536,1630.4898034961102,1468.5661601677039,0,5760,1.0,False,False,complete,design,stlsq_threshold=0.1,stlsq_threshold,0.1,1,2020,regen-v2,637c6b535a9e,86e95e8,local,20.0,0.0,
5760,4.3643812772069355,5.86347342453374,1.499092147326805,0.21375228807181118,0.3048811610586572,0.9804586981963365,238203.6078716832,2.375025423020124,3.268195660654455,1.0162705368621907,33.385416666666664,3837,17621.652975082397,91.21527777777779,506,730587.5543212891,25.972222222222225,4264,31362.21070098877,8607,73.07770525945818,112.69640207594841,225.8378969990062,1303.0520600018103,0,5760,1.0,False,False,complete,design,stlsq_threshold=0.2,stlsq_threshold,0.2,1,2020,regen-v2,637c6b535a9e,86e95e8,local,13.0,0.0,
5760,3.4616752813852587,14.427149738197961,10.965474456812704,5.214171684124116,5.5210132627597,0.23028950992888791,586102.9581142922,57.935240934712404,0.7676316997629598,18.403377542532336,61.42361111111111,2222,2252.501625061035,68.45486111111111,1817,1240792.614868164,70.92013888888889,1675,3156.2962226867676,5714,1782.6227976901719,26.470058722954526,4089.639453424846,1436.8574989054287,0,5760,1.0,False,False,complete,design,coef_perturb=0.02,coef_perturb,0.02,1,2020,regen-v2,637c6b535a9e,86e95e8,local,,,0.0
5760,3.1002533625350077,15.515810129013506,12.415556766478499,5.006925582530975,6.015204049934394,1.3934271340131277,630329.7864911737,55.6325064725664,4.644757113377093,20.050680166447982,65.52083333333333,1986,1536.1535444259644,50.798611111111114,2834,3321073.918823242,60.24305555555556,2290,4534.024982452393,7110,1711.7694304284196,160.16403837323128,4455.706701791715,1335.7452205441082,0,5760,1.0,False,False,complete,design,coef_perturb=0.02,coef_perturb,0.02,1,2020,regen-v2,637c6b535a9e,86e95e8,local,,,1.0
5760,3.5933489675571444,14.993295130600192,11.39994616304305,4.890641150944404,5.348174353687014,1.16113065841163,609102.6146806328,54.3404572327156,3.870435528038767,17.827247845623383,61.111111111111114,2240,2020.2742357254028,60.9375,2250,2544423.3591308594,63.09027777777778,2126,4013.7291526794434,6616,1672.0140695837558,133.46329350271867,3961.610632063768,1393.1824747723326,0,5760,1.0,False,False,complete,design,coef_perturb=0.02,coef_perturb,0.02,1,2020,regen-v2,637c6b535a9e,86e95e8,local,,,2.0
5760,3.073620265385748,14.84698052539627,11.773360260010524,4.942026390092429,5.684297078788164,1.1470367911299304,603158.5838442235,54.91140433436032,3.8234559704331015,18.94765692929388,62.517361111111114,2159,1919.3693599700928,57.34375000000001,2457,2951419.5922851562,62.30902777777778,2171,4030.27632522583,6787,1689.5816721615506,131.84330924075937,4210.590427059271,1390.6160344892596,0,5760,1.0,False,False,complete,design,coef_perturb=0.02,coef_perturb,0.02,1,2020,regen-v2,637c6b535a9e,86e95e8,local,,,3.0
5760,3.454172143412663,13.929658991726388,10.475486848313725,4.964101821984762,4.889750541041641,0.6216344852873219,565892.3965388845,55.15668691094181,2.0721149509577397,16.299168470138806,51.736111111111114,2780,4302.388914108276,81.84027777777779,1046,1096759.8862304688,75.03472222222223,1438,2857.45027923584,5264,1697.12882876996,71.45223972625567,3622.0374380608096,1477.7710637183043,0,5760,1.0,False,False,complete,design,coef_perturb=0.05,coef_perturb,0.05,1,2020,regen-v2,637c6b535a9e,86e95e8,local,,,0.0
5760,4.017304181063407,15.058108632654198,11.040804451590795,4.922171556400317,4.554884824368418,1.5637480708220577,611735.6632015769,54.69079507111463,5.212493569406859,15.182949414561396,54.166666666666664,2640,3724.748351097107,67.23958333333333,1887,2987384.0228271484,64.09722222222223,2068,4793.845783233643,6595,1682.7936937382456,179.74115756115788,3373.9887573158558,1303.5299287186376,0,5760,1.0,False,False,complete,design,coef_perturb=0.05,coef_perturb,0.05,1,2020,regen-v2,637c6b535a9e,86e95e8,local,,,1.0
